date,open,high,low,close,volume,change,ticker,company_name,year,return_daily,return_1m,return_3m,return_1y,vol_30d,vol_annual,ma_20,ma_50,trend,adv_90d,liquidity,score,stock_card,ml_prob_up_1m,ml_signal_1m
31/05/2024,99.9,99.9,98.1,98.54,5411,0.25,ABL,Allied Bank Limited,2024,0.002543494,0.011600452,0.139849624,0.468554396,0.013556233,0.215198532,97.365,92.8904,uptrend,29025.97778,low,65,"
Ticker: ABL
As of 2024-05-31, closing price: 98.54 PKR.

Performance:
- 1-year return: 46.9%
- 3-month return: 14.0%
- 1-month return: 1.2%

Risk & trend:
- Annualized volatility (approx): 0.22
- Trend (20-day vs 50-day moving average): uptrend

Liquidity:
- Category: low
- 90-day average daily volume (ADV): 29025.98


⚠️ Liquidity Warning: This stock is classified as LOW liquidity.
Low-liquidity PSX stocks may have wide bid-ask spreads and sharp price moves.

Overall educational score (0–100): 65


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 39.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.39,model_leans_down
31/05/2024,670,695,670,679.24,3148,3.39,ABOT,Abbott Laboratories (Pakistan) Ltd,2024,0.005015906,0.213838951,0.409211618,0.732622503,0.018904314,0.300096687,658.357,568.5232,uptrend,22527.08889,low,65,"
Ticker: ABOT
As of 2024-05-31, closing price: 679.24 PKR.

Performance:
- 1-year return: 73.3%
- 3-month return: 40.9%
- 1-month return: 21.4%

Risk & trend:
- Annualized volatility (approx): 0.30
- Trend (20-day vs 50-day moving average): uptrend

Liquidity:
- Category: low
- 90-day average daily volume (ADV): 22527.09


⚠️ Liquidity Warning: This stock is classified as LOW liquidity.
Low-liquidity PSX stocks may have wide bid-ask spreads and sharp price moves.

Overall educational score (0–100): 65


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 26.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.26,model_leans_down
31/05/2024,89.5,89.5,85.25,87.1,27767,1.99,AGP,AGP Limited,2024,0.023381506,0.095597484,0.120113169,0.679845709,0.023801807,0.377841969,89.7,81.7642,uptrend,198328.5667,medium,65,"
Ticker: AGP
As of 2024-05-31, closing price: 87.10 PKR.

Performance:
- 1-year return: 68.0%
- 3-month return: 12.0%
- 1-month return: 9.6%

Risk & trend:
- Annualized volatility (approx): 0.38
- Trend (20-day vs 50-day moving average): uptrend

Liquidity:
- Category: medium
- 90-day average daily volume (ADV): 198328.57


Overall educational score (0–100): 65


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 13.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.13,model_leans_down
31/05/2024,34.25,35.79,34.25,35.34,202520,0.77,AICL,Adamjee Insurance Company Ltd,2024,0.022273648,-0.039412884,-0.013950893,0.570666667,0.013301497,0.211154723,35.316,35.6692,downtrend,579031.4111,high,65,"
Ticker: AICL
As of 2024-05-31, closing price: 35.34 PKR.

Performance:
- 1-year return: 57.1%
- 3-month return: -1.4%
- 1-month return: -3.9%

Risk & trend:
- Annualized volatility (approx): 0.21
- Trend (20-day vs 50-day moving average): downtrend

Liquidity:
- Category: high
- 90-day average daily volume (ADV): 579031.41


Overall educational score (0–100): 65


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 17.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.17,model_leans_down
31/05/2024,22.03,22.3,21.9,21.99,378950,-0.12,AKBL,Askari Bank Limited,2024,-0.005427408,-0.005877034,-0.067034366,0.531337047,0.021206477,0.336642384,22.257,22.171,uptrend,1730645.6,high,70,"
Ticker: AKBL
As of 2024-05-31, closing price: 21.99 PKR.

Performance:
- 1-year return: 53.1%
- 3-month return: -6.7%
- 1-month return: -0.6%

Risk & trend:
- Annualized volatility (approx): 0.34
- Trend (20-day vs 50-day moving average): uptrend

Liquidity:
- Category: high
- 90-day average daily volume (ADV): 1730645.60


Overall educational score (0–100): 70


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 15.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.15,model_leans_down
31/05/2024,399,400,397.11,398.78,27544,-0.22,APL,Attock Petroleum Ltd,2024,-0.000551378,0.049890741,0.019324165,0.352300858,0.009747706,0.154740042,390.136,389.2454,uptrend,52974.96667,medium,75,"
Ticker: APL
As of 2024-05-31, closing price: 398.78 PKR.

Performance:
- 1-year return: 35.2%
- 3-month return: 1.9%
- 1-month return: 5.0%

Risk & trend:
- Annualized volatility (approx): 0.15
- Trend (20-day vs 50-day moving average): uptrend

Liquidity:
- Category: medium
- 90-day average daily volume (ADV): 52974.97


Overall educational score (0–100): 75


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 37.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.37,model_leans_down
31/05/2024,360,360,352.2,356.99,4934,-1.94,ARPL,Archroma Pakistan Ltd,2024,-0.005404954,-0.034588133,-0.173634259,-0.178710286,0.019742356,0.313400189,373.4985,396.5582,downtrend,4708.888889,low,20,"
Ticker: ARPL
As of 2024-05-31, closing price: 356.99 PKR.

Performance:
- 1-year return: -17.9%
- 3-month return: -17.4%
- 1-month return: -3.5%

Risk & trend:
- Annualized volatility (approx): 0.31
- Trend (20-day vs 50-day moving average): downtrend

Liquidity:
- Category: low
- 90-day average daily volume (ADV): 4708.89


⚠️ Liquidity Warning: This stock is classified as LOW liquidity.
Low-liquidity PSX stocks may have wide bid-ask spreads and sharp price moves.

Overall educational score (0–100): 20


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 10.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.1,model_leans_down
31/05/2024,381,383.99,378.26,379.68,756209,-0.96,ATRL,Attock Refinery Ltd,2024,-0.002522068,-0.01125,0.169938064,1.257849667,0.015308107,0.243008662,386.8785,387.182,downtrend,1355491.6,high,65,"
Ticker: ATRL
As of 2024-05-31, closing price: 379.68 PKR.

Performance:
- 1-year return: 125.8%
- 3-month return: 17.0%
- 1-month return: -1.1%

Risk & trend:
- Annualized volatility (approx): 0.24
- Trend (20-day vs 50-day moving average): downtrend

Liquidity:
- Category: high
- 90-day average daily volume (ADV): 1355491.60


Overall educational score (0–100): 65


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 54.0%
- Model signal (based on this probability): model_uncertain

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.54,model_uncertain
31/05/2024,54.6,57.5,54.6,56.35,4681592,1.64,AVN,Avanceon Ltd,2024,0.029976238,-0.030787754,0.016414141,0.100800938,0.026608532,0.422397353,56.589,55.584,uptrend,2001121.333,high,60,"
Ticker: AVN
As of 2024-05-31, closing price: 56.35 PKR.

Performance:
- 1-year return: 10.1%
- 3-month return: 1.6%
- 1-month return: -3.1%

Risk & trend:
- Annualized volatility (approx): 0.42
- Trend (20-day vs 50-day moving average): uptrend

Liquidity:
- Category: high
- 90-day average daily volume (ADV): 2001121.33


Overall educational score (0–100): 60


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 9.0%
- Model signal (based on this probability): model_leans_down

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.09,model_leans_down
31/05/2024,63.5,63.69,60.01,62.04,306866,-0.07,BAFL,Bank Alfalah Ltd,2024,-0.001127033,0.0214027,0.147189349,1.059077332,0.015292937,0.242767854,61.0115,57.5812,uptrend,1716904.744,high,80,"
Ticker: BAFL
As of 2024-05-31, closing price: 62.04 PKR.

Performance:
- 1-year return: 105.9%
- 3-month return: 14.7%
- 1-month return: 2.1%

Risk & trend:
- Annualized volatility (approx): 0.24
- Trend (20-day vs 50-day moving average): uptrend

Liquidity:
- Category: high
- 90-day average daily volume (ADV): 1716904.74


Overall educational score (0–100): 80


ML model (Random Forest) estimate:
- Probability that the price will be higher after ~1 month: 45.0%
- Model signal (based on this probability): model_uncertain

This ML model is trained on historical KSE-100 data using features like past returns,
volatility, trend and liquidity. It is purely for educational purpose and should NOT be treated as advice or a guarantee of future performance.


This summary is based only on past price data (returns, volatility, trend,
liquidity and a simple ML model) for this KSE-100 company. It is for learning
and discussion purposes only and does NOT constitute investment advice or a
recommendation to buy or sell.
",0.45,model_uncertain
